Tweet,Topic
https://twitter.com/RLadiesJozi/status/1034474287783190528,rstats
https://twitter.com/ZKamvar/status/1034494397126197249,tinytex
https://twitter.com/G_Devailly/status/1034554029622349824,rstats
https://twitter.com/LucyStats/status/1034850504726269952,carbonate
https://twitter.com/gabyfarries/status/1035093260337913859,purrr
https://twitter.com/mdsumner/status/1036264965995356168,plotscale
https://twitter.com/mauro_lepore/status/1038029150857113601,rstudio
https://twitter.com/alexpghayes/status/1039170310560464897,knitr
https://twitter.com/mourdok/status/1039815583192293376,purrr
https://twitter.com/OilGains/status/1040804199615803392,rstats
https://twitter.com/orchid00/status/1042883954796363777,drake
https://twitter.com/sjmgarnier/status/1046916256190930950,Rvision
https://twitter.com/aggieerin/status/1047112666836344835,esquisse
https://twitter.com/KarenAssmann/status/1048318960981237760,purrr
https://twitter.com/andrewheiss/status/1050255765758332929,rstats
https://twitter.com/alexhanna/status/1053281916441452544,kableExtra
https://twitter.com/dr_keithmcnulty/status/1053380609282924544,shiny
https://twitter.com/eatonjw/status/1056193197410529280,scrapR
https://twitter.com/IlanJinichF/status/1059288128052125696,modelr
https://twitter.com/IlanJinichF/status/1059288128052125696,dplyr
https://twitter.com/WeAreRLadies/status/1059960147198410752,magrittr
https://twitter.com/MartaKolcz/status/1060887970075590656,rstats
https://twitter.com/Shedimus/status/1062459829170651136,rstudio
https://twitter.com/andrewheiss/status/1062561705937461249,tidytext
https://twitter.com/datapopulista/status/1062785654080315393,rstats
https://twitter.com/healthandstats/status/1062822097271975936,tidyverse
https://twitter.com/jjvantonder/status/1063363605771575296,magrittr
https://twitter.com/dakni9/status/1064959461582929922,rayshader
https://twitter.com/JenRichmondPhD/status/1065367660907491328,rstudio
https://twitter.com/Rbloggers/status/1067862027534774272,tidyverse
https://twitter.com/lobrowR/status/1069252200776589315,tidyverse
https://twitter.com/aggieerin/status/1069648762757361664,rstudio
https://twitter.com/AnnaDWilson/status/1070035889911488512,rstudio
https://twitter.com/sofiavanmoorsel/status/1070413149134827531,dplyr
https://twitter.com/Satrdays_DC/status/1070864362410250240,tidyeval
https://twitter.com/jennalzhao/status/1072105087130980352,blogdown
